,open,high,low,close,adjclose,volume,ticker
2002-12-07,22.600000381469727,23.454999923706055,22.25,22.924999237060547,12.564469337463379,63800800,KO
2002-12-14,22.924999237060547,22.9950008392334,21.78499984741211,22.040000915527344,12.079427719116211,66072000,KO
2002-12-21,22.049999237060547,22.350000381469727,21.614999771118164,21.735000610351562,11.91226863861084,24873800,KO
2002-12-28,21.78499984741211,22.4950008392334,21.450000762939453,22.3700008392334,12.260294914245605,34809000,KO
2003-01-04,22.299999237060547,22.690000534057617,21.850000381469727,22.600000381469727,12.386345863342285,41428000,KO
2003-01-11,22.649999618530273,23.0049991607666,22.420000076293945,22.549999237060547,12.358945846557617,47914600,KO
2003-01-18,22.600000381469727,22.795000076293945,21.375,21.415000915527344,11.736888885498047,38764800,KO
2003-01-25,21.174999237060547,21.3799991607666,19.575000762939453,20.229999542236328,11.087418556213379,105578400,KO
2003-02-01,20.274999618530273,20.375,19.75,19.764999389648438,10.832575798034668,56661600,KO
2003-02-08,19.850000381469727,20.5,19.424999237060547,20.399999618530273,11.180591583251953,64432400,KO
2003-02-15,20.475000381469727,20.760000228881836,20.0,20.31999969482422,11.13674545288086,37229600,KO
2003-02-22,20.315000534057617,20.31999969482422,19.75,20.110000610351562,11.021653175354004,47368600,KO
2003-03-01,20.079999923706055,20.219999313354492,18.5049991607666,18.850000381469727,10.331094741821289,77373800,KO
2003-03-08,18.700000762939453,20.0049991607666,18.5049991607666,19.950000762939453,10.933965682983398,70264200,KO
2003-03-15,19.950000762939453,21.149999618530273,19.850000381469727,21.125,11.645978927612305,63146000,KO
2003-03-22,20.899999618530273,20.9950008392334,20.06999969482422,20.364999771118164,11.226999282836914,46087400,KO
2003-03-29,20.15999984741211,21.299999237060547,19.854999542236328,20.950000762939453,11.549503326416016,53610200,KO
2003-04-05,21.274999618530273,21.329999923706055,20.649999618530273,20.71500015258789,11.419952392578125,39749200,KO
2003-04-12,20.71500015258789,21.424999237060547,19.5,20.200000762939453,11.13603687286377,68266200,KO
2003-04-19,20.274999618530273,20.399999618530273,19.625,19.709999084472656,10.8659029006958,54565800,KO
2003-04-26,19.920000076293945,20.545000076293945,19.719999313354492,20.5,11.301420211791992,55330200,KO
2003-05-03,20.5,22.09000015258789,20.149999618530273,21.9950008392334,12.125597953796387,79382000,KO
2003-05-10,21.9950008392334,22.489999771118164,21.815000534057617,21.975000381469727,12.11457347869873,46586200,KO
2003-05-17,21.850000381469727,22.434999465942383,21.809999465942383,22.094999313354492,12.1807279586792,47903000,KO
2003-05-24,21.989999771118164,22.975000381469727,21.924999237060547,22.78499984741211,12.561117172241211,45340200,KO
2003-05-31,22.969999313354492,23.625,22.670000076293945,23.44499969482422,12.924967765808105,41189600,KO
2003-06-07,23.200000762939453,23.790000915527344,22.795000076293945,23.674999237060547,13.051763534545898,37716400,KO
2003-06-14,23.725000381469727,24.170000076293945,22.969999313354492,23.235000610351562,12.869955062866211,61860800,KO
2003-06-21,23.139999389648438,23.735000610351562,22.889999389648438,23.2549991607666,12.881041526794434,43414200,KO
2003-06-28,23.174999237060547,23.31999969482422,22.94499969482422,23.114999771118164,12.803484916687012,40506600,KO
2003-07-05,23.114999771118164,23.174999237060547,21.674999237060547,21.954999923706055,12.16096019744873,87245400,KO
2003-07-12,22.075000762939453,22.489999771118164,21.139999389648438,22.450000762939453,12.435142517089844,83691400,KO
2003-07-19,22.5,22.8799991607666,21.899999618530273,22.520000457763672,12.473915100097656,45049000,KO
2003-07-26,22.459999084472656,23.114999771118164,22.174999237060547,22.375,12.393595695495605,53457800,KO
